Month,Year,"Gross Sales Amount"
9,2019,4496259.6724
10,2019,5135902.3467
11,2019,7522892.5608
12,2019,4830404.7285
1,2020,4740600.1605
2,2020,3996227.7661
3,2020,378770.9700
4,2020,395035.3535
5,2020,783813.4238
6,2020,1695216.6008
7,2020,2551159.1584
8,2020,2786648.2601
9,2020,12353509.7938
10,2020,13218636.1966
11,2020,20464999.0997
12,2020,12944659.6509
1,2021,12399392.9788
2,2021,10129735.5675
3,2021,12144061.2501
4,2021,7311999.9547
5,2021,12150225.0139
6,2021,9824521.0110
7,2021,12092346.3245
8,2021,7178707.5902
